ID,Site,Gender,Age,Education,Phone,Internet,LangLuganda,LangEnglish,Uses_NVprint,Uses_Bukedde,Uses_VisionTV,Uses_RadioVision,Uses_Website,YearsUsing,OtherSource,C1_understand,C2_decisions,C3_discuss,C4_trust_vs_rumour,C5_favours_govt,C6_ignores_opposition,C7_health_helped,C8_education_helped,C9_language_culture,C10_uganda_better,Trust_NVprint,Trust_Bukedde,Trust_NVonline,Trust_Monitor,Trust_NBSNTV,Trust_UBC,Trust_FBnews,Trust_WhatsApp,MIP,MIP_Source,D4_election_fairness,D5_recall,D5_which,E1_access,E2_follow,E3_epaper,E4_pay_monthly_UGX,E5_social_effect,E6_barrier,F1_memorable
Q-01 (SIM),Kampala,M,51+,None,Basic,Never,Y,Y,Y,N,Y,Y,N,1-5,Radio,3,3,4,4,3,3,4,3,2,4,7,6,8,4,5,8,4,4,Economy/jobs,NV-online/social,Balanced,No,,None,None,Free,0,More,No-smartphone,Knowing government programmes
Q-02 (SIM),Kampala,F,18-30,Secondary,Basic,Rarely,Y,Y,N,N,Y,N,Y,6-10,Radio,4,3,4,4,2,4,4,3,3,3,8,7,9,4,3,6,4,4,Agriculture,TV,Govt-strongly,Yes,School/UPE/exam guidance,Smartphone,FB,Dont-know,0,Less,Data-cost,Knowing government programmes
Q-03 (SIM),Kampala,M,18-30,Diploma+,Smart,Never,Y,Y,N,Y,N,Y,N,6-10,NBS/NTV,4,4,4,3,3,4,2,2,5,4,6,6,4,8,8,7,1,2,Economy/jobs,NV-newspaper,Dont-know,Yes,Malaria/immunisation campaign,Smartphone,FB,Stopped,<5k,More,No-smartphone,Knowing government programmes
Q-04 (SIM),Kampala,F,18-30,None,Basic,Never,N,Y,Y,Y,N,Y,N,20+,Social,5,3,3,4,4,2,4,4,5,4,6,6,3,3,8,3,6,5,Economy/jobs,Radio,Govt-slightly,Yes,School/UPE/exam guidance,Smartphone,FB,Never-heard,<5k,More,Data-cost,Education/exam guides
Q-05 (SIM),Kampala,M,51+,Secondary,Basic,Weekly,Y,Y,Y,Y,Y,Y,Y,6-10,Monitor,4,3,3,3,2,3,3,4,2,4,5,7,6,6,7,5,3,1,Economy/jobs,Friends/family,Govt-strongly,Yes,School/UPE/exam guidance,Smartphone,YouTube,Never-heard,0,More,Data-cost,Luganda/Bukedde inclusion
Q-06 (SIM),Kampala,F,51+,Secondary,Smart,Daily,Y,N,N,Y,Y,N,Y,1-5,Monitor,3,3,5,5,3,4,3,3,3,3,3,7,6,8,6,7,5,7,Health,NV-newspaper,Balanced,No,,Smartphone,TikTok,Free,0,Less,Data-cost,Education/exam guides
Q-07 (SIM),Kampala,M,18-30,Diploma+,Smart,Daily,N,N,Y,N,Y,Y,N,<1,Monitor,4,3,3,4,5,2,5,5,4,4,4,8,7,6,6,7,4,6,Corruption,TV,Govt-strongly,No,,None,YouTube,Never-heard,<5k,Less,Data-cost,Health info helped family
Q-08 (SIM),Kampala,F,18-30,Secondary,Smart,Weekly,Y,N,Y,Y,Y,N,Y,11-20,Radio,5,3,4,3,5,2,4,3,3,4,5,6,6,4,5,6,3,1,Roads/infrastructure,Radio,Govt-strongly,Yes,Malaria/immunisation campaign,None,TikTok,Free,0,More,Data-cost,Election information
Q-09 (SIM),Kampala,F,51+,Diploma+,Basic,Weekly,Y,Y,N,Y,Y,N,N,6-10,Monitor,5,4,3,2,4,3,3,2,3,4,6,7,7,8,5,6,4,1,Health,NV-online/social,Govt-strongly,Yes,School/UPE/exam guidance,Smartphone,YouTube,Dont-know,0,Less,Interest,Health info helped family
Q-10 (SIM),Kampala,M,18-30,Secondary,Smart,Rarely,Y,Y,Y,Y,N,Y,N,6-10,Radio,4,5,4,5,3,4,3,3,4,3,7,5,8,4,5,6,2,1,Economy/jobs,Radio,Govt-strongly,No,,Cafe,TikTok,Never-heard,0,Same,Data-cost,Health info helped family
Q-11 (SIM),Kampala,M,51+,Primary,Smart,Daily,Y,Y,N,Y,N,Y,N,<1,Social,5,2,3,3,3,3,4,3,2,3,7,4,7,6,7,6,4,4,Corruption,Other paper,Govt-slightly,No,,Laptop,YouTube,Free,0,Less,Interest,Luganda/Bukedde inclusion
Q-12 (SIM),Kampala,M,31-50,Secondary,Smart,Rarely,Y,Y,Y,Y,Y,Y,N,6-10,Radio,4,4,4,3,3,3,3,5,3,4,10,6,8,8,7,7,6,2,Health,Radio,Govt-strongly,No,,Smartphone,TikTok,Pay,0,Same,No-smartphone,Health info helped family
Q-13 (SIM),Kampala,F,18-30,Primary,Basic,Weekly,Y,Y,N,Y,N,Y,N,1-5,Radio,5,3,3,2,2,3,4,4,1,2,9,6,2,9,4,3,3,1,Health,NV-newspaper,Govt-slightly,No,,Cafe,None,Never-heard,0,Less,Language,Health info helped family
Q-14 (SIM),Kampala,F,31-50,Secondary,None,Never,Y,Y,N,N,N,Y,Y,11-20,Social,5,5,2,3,4,2,4,3,5,3,4,4,4,6,5,6,7,4,Roads/infrastructure,NV-online/social,Govt-slightly,No,,Smartphone,None,Dont-know,0,Same,Interest,Election information
Q-15 (SIM),Kampala,M,18-30,Diploma+,Basic,Daily,Y,Y,N,Y,Y,Y,N,1-5,Radio,4,4,4,5,3,5,4,1,4,5,6,4,9,5,7,4,3,2,Economy/jobs,Radio,Balanced,No,,Smartphone,TikTok,Stopped,0,Less,No-smartphone,Luganda/Bukedde inclusion
Q-16 (SIM),Kampala,F,18-30,Secondary,Smart,Rarely,Y,Y,Y,Y,N,Y,Y,6-10,Monitor,2,5,3,3,2,2,5,4,4,2,4,9,4,5,9,4,4,1,Education,Radio,Balanced,Yes,School/UPE/exam guidance,None,FB,Never-heard,0,More,No-smartphone,Health info helped family
