shot,tc_in,dur_s,act,description,framing,camera_motion,shoot_fps,cut_type,capcut_treatment,audio_layer,on_screen_text,location,notes
1.01,00:00.0,1.8,1,"Mist filling a valley at first light, Virunga silhouettes behind","Extreme wide, 9:16",Locked tripod,60,Fade from black,"Fade in 12f; Film Grain 15; temp -10, highlights -15, fade 8",Deep ingoma hit + wind ambience,,Virunga / Musanze,Cold blue-grey. No beat yet.
1.02,00:01.8,1.4,1,"Slow push across terraced tea hill, rows vanishing into cloud","Wide, low angle in rows",Drone/gimbal push-in,60,D,Keyframe Scale 100>108; Soft Focus 10 on first 8f,Wind in leaves,,Gisakura / Nyungwe,Golden-grade base begins here.
1.03,00:03.2,1.0,1,"Mirror-still water, single fisher's boat off-centre","Wide, upper third",Static,60,D,"Shadows +10, contrast -8 (flatten water to glass)",Water lap,,Lake Kivu,Colour rhyme with 5.07 and 6.08.
1.04,00:04.2,0.8,1,TITLE rises over the lake,Title card,-,-,H on riser,Text In: Fade+Blur 8f; Light Leak 20 behind type; sub-boom SFX,Sub-boom,UMURIRO W'URWANDA / Igihugu cy'imisozi igihumbi,-,Lock text frame to the riser peak.
2.01,00:05.0,0.9,2,Hands tightening the beaded igikubwe band on a dancer's forehead,"ECU, shallow DoF",Handheld,60,H (DROP 1),"Freeze first 3 frames on the hit, then release",Fabric + breath,,Cultural village / Kigali,Micro-stop sells the drop.
2.02,00:05.9,0.7,2,"Sisal umugara mane combed out, fibres catching backlight","CU, backlit",Slow lateral,60,B,"Highlights +12, Glow 15",Sisal rasp,,Cultural village,Backlight is essential.
2.03,00:06.6,0.8,2,"Beadwork - ibitako shoulder ornaments, fingers threading beads",Macro,"Static, hands move",60,B,Speed 0.7x if hands rush,Beads clicking,,Craft workshop,"Hands, not faces."
2.04,00:07.4,0.7,2,"Elder's weathered face, laughing at something off-frame","MCU, eye-level",Handheld,60,B,HSL Orange luminance +12; keep the laugh,Laughter (A2 -12dB),,Community,Do not correct the expression out.
2.05,00:08.1,0.8,2,"Drummer's palm strikes the ingoma skin, dust jumps off the head",ECU,Locked,240,B,Speed Curve Bullet: 0.3x for 6f then snap to 1x,DRUM HIT at full level (A3),,Drum ensemble,Signature ramp #1.
2.06,00:08.9,0.7,2,Anklet of bells (amayugi) being tied,"CU, ground level",Static,60,B,Bell SFX -10dB in the gap between beats,Bells,,Backstage,Shape echo -> 3.02 spinning wheel.
2.07,00:09.6,0.9,2,Woman adjusts her umushanana sash; fabric slides,"MS, backlit",Slow dolly,120,B,Speed 0.6x - fabric moves like water,Fabric slide,,Backstage,Visual seed for Act 4A.
2.08,00:10.5,0.8,2,"Spears and shields stacked, morning light raking across",Wide detail,Static,60,B,"Contrast +10, shadows -8",Wood + metal,,Backstage,Graphic hardness.
2.09,00:11.3,0.9,2,A child peeks through a gap at the dancers,"CU, child's eye height",Handheld,60,B,Hold one beat longer than feels right,Crowd murmur,,Audience,The child is the audience surrogate.
2.10,00:12.2,0.9,2,"Dancers walking into frame in a line, backs to camera","Wide, symmetrical",Gimbal follow,60,B,Keyframe Position to nudge with them (fake parallax),Footsteps on earth,,Performance ground,Symmetry matters.
2.11,00:13.1,0.9,2,Reverse angle: the line stops and turns as one to face us,Wide,Locked,60,B -> X,Cut on the exact frame the heads finish turning,Unison footfall,,Performance ground,Match cut to 3.01 via circle shape.
3.01,00:14.0,0.9,3,"Lake Kivu kayak/paddleboard at sunrise, paddle spray, rider grinning",Wide > CU,Drone orbit,120,X from 2.11,"Speed Curve Hero: 1.4x in, 0.4x through splash, 1x out",Water spray + laughter,,Lake Kivu,Money frame = droplets in air.
3.02,00:14.9,0.8,3,"Cycling the Congo-Nile trail - wheel spinning, red earth, green blur",Low CU on wheel,Tracking,120,B,Bling Shake 8 synced to wheel rotation,Tyre on gravel,,Congo-Nile trail,Rotation rhyme with 2.06.
3.03,00:15.7,0.7,3,"Rider POV over the handlebars, hills dropping away",POV wide,Chest mount,60,B,STABILIZE on (Recommended); Bling Zoom 6,Wind + freewheel,,Congo-Nile trail,POV needs stabilisation.
3.04,00:16.4,0.8,3,"Hiking the Virunga - hand grabs a root, boots on wet rock, tilt up to volcano",ECU hands > tilt up,Handheld,60,B,Whoosh SFX on the tilt,Grit + breath,,Virunga / Musanze,Two shots in one move.
3.05,00:17.2,0.9,3,"Nyungwe canopy walk - steps onto the swaying bridge, looks down, laughs nervously","Wide, from below",Static,60,B,Keep the nervous laugh in A2 at -14dB,Nervous laugh + creak,,Nyungwe,Most human sound in Act 3.
3.06,00:18.1,0.7,3,Zipline / tree swing through rainforest,Wide,-,120,B,Speed 0.8x; Bling Shake 10 on launch frame,Zip cable whoosh,,Nyungwe,Launch frame = effect frame.
3.07,00:18.8,0.8,3,"Swimming - someone breaks the lake surface, backlit spray",CU,Surface/under,240,B,Speed Curve Bullet: 0.3x at surface break,Water break,,Lake Kivu,Signature ramp #2.
3.08,00:19.6,0.9,3,"Coffee/tea pickers at work, laughing between rows, baskets on heads",MS in the rows,Gimbal lateral,60,B,Keep voices; warm grade,Voices + leaves,,Gisakura / Mata,Labour as recreation - do not silence it.
3.09,00:20.5,0.8,3,"Drumming workshop - visitors and locals both hitting drums, happily","Wide, participatory",Handheld,60,B,A3 drum audio swells here,Mixed drums,,Cultural centre,PIVOT SHOT: recreation > dance.
3.10,00:21.3,0.8,3,"Imigongo art being painted - geometric ochre patterns, hand draws a spiral",Macro,Static,60,B,-,Brush on panel,,Kibungo / craft co-op,Spiral echoes into 4.01 wrist turn.
