shot,tc_in,dur_s,act,description,stock_tier,search_keywords_primary,search_keywords_alt,suggested_libraries,stock_fps_note,license_caution,fallback_if_unavailable,framing,camera_motion,target_fps_designed,cut_type,capcut_treatment,audio_layer,on_screen_text,location,notes
1.01,00:00.0,1.8,1,"Mist filling a valley at first light, Virunga silhouettes behind",A,Rwanda mountains mist dawn aerial,Virunga volcanoes fog sunrise; Rwanda hills aerial morning,"Artgrid, Pond5, Shutterstock, Getty",24-30,Commercial,-,"Extreme wide, 9:16",Locked tripod,60,Fade from black,"Fade in 12f; Film Grain 15; temp -10, highlights -15, fade 8",Deep ingoma hit + wind ambience,,Virunga / Musanze,Cold blue-grey. No beat yet.
1.02,00:01.8,1.4,1,"Slow push across terraced tea hill, rows vanishing into cloud",A,Rwanda tea plantation aerial terraced,tea fields Nyungwe drone; green terraced hills Rwanda,"Artgrid, Pond5, Shutterstock",24-30,Commercial,-,"Wide, low angle in rows",Drone/gimbal push-in,60,D,Keyframe Scale 100>108; Soft Focus 10 on first 8f,Wind in leaves,,Gisakura / Nyungwe,Golden-grade base begins here.
1.03,00:03.2,1.0,1,"Mirror-still water, single fisher's boat off-centre",A,Lake Kivu sunrise boat,Rwanda lake fisherman canoe dawn; calm water boat silhouette Africa,"Artgrid, Pond5, Getty",24-30,Commercial,-,"Wide, upper third",Static,60,D,"Shadows +10, contrast -8 (flatten water to glass)",Water lap,,Lake Kivu,Colour rhyme with 5.07 and 6.08.
1.04,00:04.2,0.8,1,TITLE rises over the lake,A,"Lake Kivu sunrise boat (same as 1.03, wider/longer)",Rwanda lake golden dawn aerial,-,-,Commercial,Use a longer cut of the 1.03 clip and keyframe a slow push under the title.,Title card,-,-,H on riser,Text In: Fade+Blur 8f; Light Leak 20 behind type; sub-boom SFX,Sub-boom,UMURIRO W'URWANDA / Igihugu cy'imisozi igihumbi,-,Lock text frame to the riser peak.
2.01,00:05.0,0.9,2,Hands tightening the beaded igikubwe band on a dancer's forehead,C,Intore dancer costume beads close up,Rwandan traditional dancer headdress detail; African dancer makeup hands,"Pond5, Shutterstock, Getty (often editorial)",24-30,EDITORIAL likely - verify,"Substitute: macro of beaded jewellery / hands tying fabric (plentiful), and sell the 'dancer' read via the next shot.","ECU, shallow DoF",Handheld,60,H (DROP 1),"Freeze first 3 frames on the hit, then release",Fabric + breath,,Cultural village / Kigali,Micro-stop sells the drop.
2.02,00:05.9,0.7,2,"Sisal umugara mane combed out, fibres catching backlight",C,sisal headdress Rwandan dancer backlit,Intore umugara mane; African dancer hair fibres wind,"Pond5, Shutterstock",24-30,EDITORIAL likely,"Substitute: backlit grass/pampas fibres in wind (plentiful) - same texture, same golden rim.","CU, backlit",Slow lateral,60,B,"Highlights +12, Glow 15",Sisal rasp,,Cultural village,Backlight is essential.
2.03,00:06.6,0.8,2,"Beadwork - ibitako shoulder ornaments, fingers threading beads",C,African beadwork hands macro,beads jewellery making hands close up Rwanda; artisan beading,"Shutterstock, Pond5, Adobe Stock",24-30,Commercial,Substitute: any hands-threading-beads macro; keep it non-specific.,Macro,"Static, hands move",60,B,Speed 0.7x if hands rush,Beads clicking,,Craft workshop,"Hands, not faces."
2.04,00:07.4,0.7,2,"Elder's weathered face, laughing at something off-frame",A,elderly Rwandan man portrait smiling,African elder face laughing portrait; Rwanda villager smiling close up,"Getty, Shutterstock, Artgrid, Pond5",24-30,Commercial (check model release),-,"MCU, eye-level",Handheld,60,B,HSL Orange luminance +12; keep the laugh,Laughter (A2 -12dB),,Community,Do not correct the expression out.
2.05,00:08.1,0.8,2,"Drummer's palm strikes the ingoma skin, dust jumps off the head",B,African drum hands close up slow motion,ingoma drumming hands; djembe strike dust slow motion,"Artgrid, Pond5, Shutterstock, Filmsupply",50-60 or native slo-mo,Commercial,-,ECU,Locked,240,B,Speed Curve Bullet: 0.3x for 6f then snap to 1x,DRUM HIT at full level (A3),,Drum ensemble,Signature ramp #1.
2.06,00:08.9,0.7,2,Anklet of bells (amayugi) being tied,D,ankle bells dancer feet close up,amayugi bells; African dancer feet bells jingle,"Pond5, Getty (editorial)",24-30,EDITORIAL likely,"BUILD IT: buy a wide stomp shot, crop in tight (Scale keyframe 100->220) on the feet, add library bell SFX in A3.","CU, ground level",Static,60,B,Bell SFX -10dB in the gap between beats,Bells,,Backstage,Shape echo -> 3.02 spinning wheel.
